ID,RH,PropSurv,Time,BF,Total,Alive,Dead,TotalDead
C1,75,1,0,N,55,55,0,0
C1,75,0.709090909,25,N,55,39,16,16
C1,75,0.618181818,29,N,55,34,5,21
C1,75,0.563636364,47,N,55,31,3,24
C1,75,0.527272727,68,N,55,29,2,26
C11,75,1,0,N,20,20,0,0
C11,75,1,3,N,20,20,0,0
C11,75,1,4,N,20,20,0,0
C11,75,1,7,N,20,20,0,0
C11,75,1,7,N,20,20,0,0
C13,75,1,0,N,54,54,0,0
C13,75,1,3,N,54,54,0,0
C13,75,1,4,N,54,54,0,0
C13,75,0.851851852,7,N,54,46,6,8
C13,75,0.962962963,7,N,54,52,2,2
C13,75,0.759259259,12,N,54,41,5,13
C13,75,0.277777778,25,N,54,15,26,39
C13,75,0.166666667,29,N,54,9,6,45
C13,75,0.166666667,29,N,54,9,0,45
C13,75,0,36,N,54,0,9,54
C13,75,0,41,N,54,0,54,54
C13,75,0,44,N,54,0,54,54
C13,75,0,47,N,54,0,54,54
C13,75,0,50,N,54,0,54,54
C13,75,0,54,N,54,0,54,54
C13,75,0,64,N,54,0,54,54
C13,75,0,68,N,54,0,54,54
C13,75,0,72,N,54,0,54,54
C13,75,0,75,N,54,0,54,54
C13,75,0,90,N,54,0,54,54
C13,75,0,95,N,54,0,54,54
C13,75,0,100.5,N,54,0,54,54
C13,75,0,116,N,54,0,54,54
C13,75,0,121,N,54,0,54,54
C13,75,0,125,N,54,0,54,54
C13,75,0,136,N,54,0,54,54
C13,75,0,142,N,54,0,54,54
C13,75,0,166,N,54,0,54,54
C14,75,1,0,N,20,20,0,0
C14,75,1,4,N,20,20,0,0
C14,75,0.7,18,N,20,14,6,6
C15,75,1,0,N,20,20,0,0
C15,75,1,5,N,20,20,0,0
C16,75,1,0,N,53,53,0,0
C16,75,0.301886792,21,N,53,16,37,37
C16,75,0.113207547,25,N,53,6,10,47
C16,75,0,44,N,53,0,6,53
C16,75,0,47,N,53,0,53,53
C16,75,0,50,N,53,0,53,53
C16,75,0,54,N,53,0,53,53
C16,75,0,64,N,53,0,53,53
C16,75,0,68,N,53,0,53,53
C16,75,0,72,N,53,0,53,53
C16,75,0,75,N,53,0,53,53
C16,75,0,90,N,53,0,53,53
C16,75,0,95,N,53,0,53,53
C16,75,0,100.5,N,53,0,53,53
C16,75,0,116,N,53,0,53,53
C16,75,0,121,N,53,0,53,53
C16,75,0,125,N,53,0,53,53
C16,75,0,136,N,53,0,53,53
C16,75,0,142,N,53,0,53,53
C16,75,0,166,N,53,0,53,53
C17,75,1,0,N,21,21,0,0
C17,75,0.523809524,18,N,21,11,10,10
C2,75,1,0,N,26,26,0,0
C2,75,0.923076923,7,N,26,24,2,2
C2,75,0.923076923,12,N,26,24,0,2
C20,75,1,0,N,5,5,0,0
C20,75,1,18,N,5,5,0,0
C20,75,0.8,21,N,5,4,1,1
C20,75,0.8,25,N,5,4,0,1
C20,75,0.2,47,N,5,1,3,4
C20,75,0,68,N,5,0,1,5
C20,75,0,72,N,5,0,5,5
C20,75,0,75,N,5,0,5,5
C20,75,0,90,N,5,0,5,5
C20,75,0,95,N,5,0,5,5
C20,75,0,100.5,N,5,0,5,5
C20,75,0,116,N,5,0,5,5
C20,75,0,121,N,5,0,5,5
C20,75,0,125,N,5,0,5,5
C20,75,0,136,N,5,0,5,5
C20,75,0,142,N,5,0,5,5
C20,75,0,166,N,5,0,5,5
C22,75,1,0,N,20,20,0,0
C22,75,1,5,N,20,20,0,0
C23,75,1,0,N,20,20,0,0
C23,75,0.95,5,N,20,19,1,1
C23,75,0.9,7,N,20,18,1,2
C24,75,1,0,N,20,20,0,0
C24,75,1,5,N,20,20,0,0
C25,75,1,0,N,50,50,0,0
C25,75,0.98,5,N,50,49,1,1
C25,75,1,5,N,50,50,0,0
C26,75,1,0,N,50,50,0,0
C26,75,1,5,N,50,50,0,0
C26,75,1,5,N,50,50,0,0
C26,75,1,7,N,50,50,0,0
C26,75,0.32,25,N,50,16,34,34
C26,75,0.06,29,N,50,3,0,47
C26,75,0.06,29,N,50,3,13,47
C26,75,0,54,N,50,0,3,50
C26,75,0,64,N,50,0,50,50
C26,75,0,68,N,50,0,50,50
C26,75,0,72,N,50,0,50,50
C26,75,0,75,N,50,0,50,50
C26,75,0,90,N,50,0,50,50
C26,75,0,95,N,50,0,50,50
C26,75,0,100.5,N,50,0,50,50
C26,75,0,116,N,50,0,50,50
C26,75,0,121,N,50,0,50,50
C26,75,0,125,N,50,0,50,50
C26,75,0,136,N,50,0,50,50
C26,75,0,142,N,50,0,50,50
C26,75,0,166,N,50,0,50,50
C28,75,1,0,N,20,20,0,0
C28,75,0.95,4,N,20,19,1,1
C29,75,1,0,N,50,50,0,0
C29,75,0.96,4,N,50,48,2,2
C29,75,0.82,18,N,50,41,7,9
C3,75,1,0,N,50,50,0,0
C3,75,0.2,25,N,50,10,40,40
C3,75,0.04,54,N,50,2,8,48
C3,75,0.04,54,N,50,2,0,48
C3,75,0,75,N,50,0,2,50
C3,75,0,90,N,50,0,50,50
C3,75,0,95,N,50,0,50,50
C3,75,0,100.5,N,50,0,50,50
C3,75,0,116,N,50,0,50,50
C3,75,0,121,N,50,0,50,50
C3,75,0,125,N,50,0,50,50
C3,75,0,136,N,50,0,50,50
C3,75,0,142,N,50,0,50,50
C3,75,0,166,N,50,0,50,50
C30,100,1,0,N,50,50,0,0
C30,100,1,4,N,50,50,0,0
C30,100,0.96,18,N,50,48,2,2
C31,75,1,0,N,21,21,0,0
C31,75,1,12,N,21,21,0,0
C31,75,1,25,N,21,21,0,0
C31,75,0.666666667,41,N,21,14,7,7
C32,100,1,0,N,20,20,0,0
C32,100,1,5,N,20,20,0,0
C33,100,1,0,N,20,20,0,0
C33,100,1,5,N,20,20,0,0
C33,100,0.95,7,N,20,19,1,1
C34,75,1,0,N,20,20,0,0
C34,75,0.95,5,N,20,19,1,1
C34,75,0.9,7,N,20,18,1,2
C35,75,1,0,N,20,20,0,0
C35,75,0.85,5,N,20,17,3,3
C36,75,1,0,N,52,52,0,0
C36,75,0.884615385,5,N,52,46,6,6
C36,75,0.653846154,7,N,52,34,12,18
C36,75,0.076923077,25,N,52,4,30,48
C36,75,0.057692308,29,N,52,3,1,49
C36,75,0.076923077,29,N,52,4,0,48
C36,75,0,44,N,52,0,3,52
C36,75,0,47,N,52,0,52,52
C36,75,0,50,N,52,0,52,52
C36,75,0,54,N,52,0,52,52
C36,75,0,64,N,52,0,52,52
C36,75,0,68,N,52,0,52,52
C36,75,0,72,N,52,0,52,52
C36,75,0,75,N,52,0,52,52
C36,75,0,90,N,52,0,52,52
C36,75,0,95,N,52,0,52,52
C36,75,0,100.5,N,52,0,52,52
C36,75,0,116,N,52,0,52,52
C36,75,0,121,N,52,0,52,52
C36,75,0,125,N,52,0,52,52
C36,75,0,136,N,52,0,52,52
C36,75,0,142,N,52,0,52,52
C36,75,0,166,N,52,0,52,52
C37,75,1,0,N,49,49,0,0
C37,75,0.714285714,21,N,49,35,7,14
C37,75,0.857142857,21,N,49,42,7,7
C37,75,0.673469388,25,N,49,33,2,16
C37,75,0.510204082,44,N,49,25,8,24
C37,75,0.204081633,72,N,49,10,15,39
C37,75,0,100.5,N,49,0,10,49
C37,75,0,116,N,49,0,49,49
C37,75,0,121,N,49,0,49,49
C37,75,0,125,N,49,0,49,49
C37,75,0,136,N,49,0,49,49
C37,75,0,142,N,49,0,49,49
C37,75,0,166,N,49,0,49,49
C38,75,1,0,N,20,20,0,0
C38,75,1,3,N,20,20,0,0
C38,75,0.9,5,N,20,18,2,2
C39,75,1,0,N,20,20,0,0
C39,75,0.9,18,N,20,18,2,2
C4,75,1,0,N,51,51,0,0
C4,75,1,5,N,51,51,0,0
C4,75,0.431372549,18,N,51,22,29,29
C4,75,0.215686275,44,N,51,11,11,40
C4,75,0.019607843,47,N,51,1,10,50
C4,75,0.019607843,68,N,51,1,0,50
C4,75,0,72,N,51,0,1,51
C4,75,0,75,N,51,0,51,51
C4,75,0,90,N,51,0,51,51
C4,75,0,95,N,51,0,51,51
C4,75,0,100.5,N,51,0,51,51
C4,75,0,116,N,51,0,51,51
C4,75,0,121,N,51,0,51,51
C4,75,0,125,N,51,0,51,51
C4,75,0,136,N,51,0,51,51
C4,75,0,142,N,51,0,51,51
C4,75,0,166,N,51,0,51,51
C40,75,1,0,N,20,20,0,0
C40,75,1,5,N,20,20,0,0
C41,75,1,0,N,20,20,0,0
C41,75,1,5,N,20,20,0,0
C42,75,1,0,N,50,50,0,0
C42,75,0.9,5,N,50,45,5,5
C42,75,0.86,7,N,50,43,2,7
C42,75,0.16,25,N,50,8,35,42
C42,75,0,50,N,50,0,8,50
C42,75,0,54,N,50,0,50,50
C44,75,1,0,N,20,20,0,0
C44,75,0.35,25,N,20,7,13,13
C44,75,0.05,47,N,20,1,6,19
C44,75,0,68,N,20,0,1,20
C44,75,0,68,N,50,0,50,50
C44,75,0,72,N,20,0,20,20
C44,75,0,75,N,20,0,20,20
C44,75,0,90,N,20,0,20,20
C44,75,0,95,N,20,0,20,20
C44,75,0,100.5,N,20,0,20,20
C44,75,0,116,N,20,0,20,20
C44,75,0,121,N,20,0,20,20
C44,75,0,125,N,20,0,20,20
C44,75,0,136,N,20,0,20,20
C44,75,0,142,N,20,0,20,20
C44,75,0,166,N,20,0,20,20
C46,75,1,0,N,20,20,0,0
C46,75,1,5,N,20,20,0,0
C46,75,1,7,N,20,20,0,0
C46,75,0,75,N,50,0,50,50
C47,75,1,0,N,20,20,0,0
C47,75,1,5,N,20,20,0,0
C47,75,0,90,N,50,0,50,50
C48,75,1,0,N,51,51,0,0
C48,75,0.745098039,5,N,51,38,13,13
C48,75,0.156862745,25,N,51,8,30,43
C48,75,0.098039216,29,N,51,5,2,46
C48,75,0.137254902,29,N,51,7,1,44
C48,75,0,50,N,51,0,5,51
C48,75,0,54,N,51,0,51,51
C48,75,0,95,N,50,0,50,50
C49,75,1,0,N,20,20,0,0
C49,75,1,5,N,20,20,0,0
C49,75,1,7,N,20,20,0,0
C49,75,0,64,N,51,0,51,51
C49,75,0,100.5,N,50,0,50,50
C50,75,1,0,N,20,20,0,0
C50,75,0.95,5,N,20,19,1,1
C50,75,0,68,N,51,0,51,51
C50,75,0,116,N,50,0,50,50
C51,75,1,0,N,16,16,0,0
C51,75,0.625,18,N,16,10,6,6
C51,75,0.5,21,N,16,8,2,8
C51,75,0.25,25,N,16,4,4,12
C51,75,0.0625,47,N,16,1,3,15
C51,75,0.0625,68,N,16,1,0,15
C51,75,0,72,N,51,0,51,51
C51,75,0,90,N,16,0,1,16
C51,75,0,95,N,16,0,16,16
C51,75,0,100.5,N,16,0,16,16
C51,75,0,116,N,16,0,16,16
C51,75,0,121,N,50,0,50,50
C51,75,0,121,N,16,0,16,16
C51,75,0,125,N,16,0,16,16
C51,75,0,136,N,16,0,16,16
C51,75,0,142,N,16,0,16,16
C51,75,0,166,N,16,0,16,16
C52,75,1,0,N,20,20,0,0
C52,75,0.9,18,N,20,18,1,2
C52,75,0.95,18,N,20,19,1,1
C52,75,0.9,21,N,20,18,0,2
C52,75,0.35,44,N,20,7,11,13
C52,75,0.05,64,N,20,1,6,19
C52,75,0,75,N,51,0,51,51
C52,75,0,90,N,20,0,1,20
C52,75,0,95,N,20,0,20,20
C52,75,0,100.5,N,20,0,20,20
C52,75,0,116,N,20,0,20,20
C52,75,0,121,N,20,0,20,20
C52,75,0,125,N,50,0,50,50
C52,75,0,125,N,20,0,20,20
C52,75,0,136,N,20,0,20,20
C52,75,0,142,N,20,0,20,20
C52,75,0,166,N,20,0,20,20
C54,75,1,0,N,20,20,0,0
C54,75,0.85,5,N,20,17,3,3
C54,75,0,95,N,51,0,51,51
C54,75,0,142,N,50,0,50,50
C55,75,1,0,Y,20,20,0,0
C55,75,0.8,21,Y,20,16,4,4
C55,75,0.6,29,Y,20,12,4,8
C55,75,0.2,41,Y,20,4,8,16
C55,75,0.05,47,Y,20,1,3,19
C55,75,0,50,Y,20,0,1,20
C55,75,0,54,Y,20,0,20,20
C55,75,0,64,Y,20,0,20,20
C55,75,0,68,Y,20,0,20,20
C55,75,0,72,Y,20,0,20,20
C55,75,0,75,Y,20,0,20,20
C55,75,0,90,Y,20,0,20,20
C55,75,0,95,Y,20,0,20,20
C55,75,0,100.5,N,51,0,51,51
C55,75,0,100.5,Y,20,0,20,20
C55,75,0,116,Y,20,0,20,20
C55,75,0,121,Y,20,0,20,20
C55,75,0,125,Y,20,0,20,20
C55,75,0,136,Y,20,0,20,20
C55,75,0,142,Y,20,0,20,20
C55,75,0,166,N,50,0,50,50
C55,75,0,166,Y,20,0,20,20
C57,75,1,0,N,24,24,0,0
C57,75,0.75,18,N,24,18,6,6
C57,75,0.375,25,N,24,9,9,15
C57,75,0.208333333,41,N,24,5,4,19
C57,75,0.166666667,44,N,24,4,1,20
C57,75,0.166666667,50,N,24,4,0,20
C57,75,0,54,N,24,0,4,24
C57,75,0,64,N,24,0,24,24
C57,75,0,68,N,24,0,24,24
C57,75,0,72,N,24,0,24,24
C57,75,0,75,N,24,0,24,24
C57,75,0,90,N,24,0,24,24
C57,75,0,95,N,24,0,24,24
C57,75,0,100.5,N,24,0,24,24
C57,75,0,116,N,24,0,24,24
C57,75,0,121,N,51,0,51,51
C57,75,0,121,N,24,0,24,24
C57,75,0,125,N,24,0,24,24
C57,75,0,136,N,24,0,24,24
C57,75,0,142,N,24,0,24,24
C57,75,0,166,N,24,0,24,24
C58,75,1,0,Y,20,20,0,0
C58,75,1,18,Y,20,20,0,0
C58,75,1,25,Y,20,20,0,0
C58,75,0.85,36,Y,20,17,3,3
C58,75,0.75,41,Y,20,15,2,5
C58,75,0.25,44,Y,20,5,10,15
C58,75,0.2,50,Y,20,4,1,16
C58,75,0,75,Y,20,0,4,20
C58,75,0,90,Y,20,0,20,20
C58,75,0,95,Y,20,0,20,20
C58,75,0,100.5,Y,20,0,20,20
C58,75,0,116,Y,20,0,20,20
C58,75,0,121,Y,20,0,20,20
C58,75,0,125,N,51,0,51,51
C58,75,0,125,Y,20,0,20,20
C58,75,0,136,Y,20,0,20,20
C58,75,0,142,Y,20,0,20,20
C58,75,0,166,Y,20,0,20,20
C59,75,1,0,Y,20,20,0,0
C59,75,0.9,18,Y,20,18,2,2
C59,75,0.8,25,Y,20,16,2,4
C59,75,0.45,36,Y,20,9,7,11
C59,75,0.3,41,Y,20,6,3,14
C59,75,0.25,44,Y,20,5,1,15
C59,75,0.25,50,Y,20,5,0,15
C59,75,0,75,Y,20,0,5,20
C59,75,0,90,Y,20,0,20,20
C59,75,0,95,Y,20,0,20,20
C59,75,0,100.5,Y,20,0,20,20
C59,75,0,116,Y,20,0,20,20
C59,75,0,121,Y,20,0,20,20
C59,75,0,125,Y,20,0,20,20
C59,75,0,136,N,51,0,51,51
C59,75,0,136,Y,20,0,20,20
C59,75,0,142,Y,20,0,20,20
C59,75,0,166,Y,20,0,20,20
C60,75,1,0,Y,22,22,0,0
C60,75,0.727272727,18,Y,22,16,6,6
C60,75,0.681818182,25,Y,22,15,1,7
C60,75,0.272727273,54,Y,22,6,9,16
C60,75,0.181818182,68,Y,22,4,2,18
C60,75,0,90,Y,22,0,4,22
C60,75,0,95,Y,22,0,22,22
C60,75,0,100.5,Y,22,0,22,22
C60,75,0,116,Y,22,0,22,22
C60,75,0,121,Y,22,0,22,22
C60,75,0,125,Y,22,0,22,22
C60,75,0,136,Y,22,0,22,22
C60,75,0,142,N,51,0,51,51
C60,75,0,142,Y,22,0,22,22
C60,75,0,166,Y,22,0,22,22
C61,75,1,0,N,50,50,0,0
C61,75,0.96,18,N,50,48,2,2
C61,75,0.86,25,N,50,43,5,7
C61,75,0.68,36,N,50,34,9,16
C61,75,0.64,41,N,50,32,2,18
C61,75,0.6,44,N,50,30,2,20
C61,75,0.56,50,N,50,28,2,22
C61,75,0,166,N,51,0,51,51
C62,75,1,0,N,20,20,0,0
C62,75,1,12,N,20,20,0,0
C63,75,1,0,N,20,20,0,0
C63,75,1,12,N,20,20,0,0
C64,75,1,0,N,20,20,0,0
